forecast_spec,mae_2025,rmse_2025,mean_error_2025,coverage_95_2025,avg_interval_width_2025
seasonal_naive_mean,30.018916666666666,36.72957256648471,0.6799166666666654,,
sarima_expanding_mean,32.60902690091048,34.91797784169858,-14.558441928829685,0.16666666666666666,29.61062306036651
sarima_rolling120_mean,32.87049881935446,35.11580789003659,-14.537625703894951,0.16666666666666666,35.20821743374689
ucm_mean,33.39458358944429,35.30031807273677,-14.86050024523341,0.08333333333333333,28.935092308661734
