model,window_type,horizon,n_forecasts,mae,rmse,mase,coverage_95,avg_interval_width
arima_011,expanding,1,121,3.820532520877259,5.928502244238738,0.5251204611181532,0.8842975206611571,13.410457582073343
arima_011,expanding,2,121,4.5728683896578355,7.531567552747455,0.6274458355261272,0.8842975206611571,16.400450828470593
arima_011,expanding,3,121,5.5906310011161,9.489192690267574,0.7643340017410648,0.8760330578512396,18.923335617341916
arima_011,expanding,4,121,6.414607340557793,10.9797962954299,0.8783112671356109,0.8677685950413223,21.147197014600998
arima_011,expanding,5,121,6.954817910812533,11.634571934183676,0.9548057993711047,0.8512396694214877,23.15841119301756
arima_011,expanding,6,121,7.573316897184169,12.082519455546699,1.0421766276735775,0.8181818181818182,25.008363219473917
arima_011,expanding,7,121,8.315276648143893,12.57793648749963,1.146010567574328,0.8016528925619835,26.730568693193945
arima_011,expanding,8,121,8.874573982767858,13.228293834200768,1.2245163310884843,0.8181818181818182,28.34832639060531
arima_011,expanding,9,121,9.328651759918488,14.111215869307896,1.2876854397467967,0.8099173553719008,29.878610756821857
arima_011,expanding,10,121,10.156459415972622,15.295212095444025,1.400497367168054,0.8016528925619835,31.334242671853445
arima_011,expanding,11,121,10.556934653081129,15.748399408007979,1.4567086924948747,0.7851239669421488,32.72518687096672
arima_011,expanding,12,121,10.971153129320124,16.021207405018753,1.5174697006738385,0.8181818181818182,34.05937057371598
arima_012,expanding,1,121,3.813201986083226,5.9842948708130725,0.5244380574837396,0.8760330578512396,13.324789942709163
arima_012,expanding,2,121,4.553499909749308,7.432282070363263,0.6251714425882756,0.859504132231405,15.665477458775234
arima_012,expanding,3,121,5.624834714532009,9.368080228616387,0.7693046985264231,0.8925619834710744,18.678455371820426
arima_012,expanding,4,121,6.445360286805007,11.032078981774745,0.8821700876642946,0.8760330578512396,21.268309581769884
arima_012,expanding,5,121,6.954616493715853,11.646661976833865,0.9548321276384116,0.8512396694214877,23.575154790847847
arima_012,expanding,6,121,7.580120771769213,12.112412133838424,1.0429674160105085,0.8264462809917356,25.67547266294575
arima_012,expanding,7,121,8.328574940948716,12.558909463349393,1.1476569426798455,0.8181818181818182,27.616461184922514
arima_012,expanding,8,121,8.892056509457271,13.214545899678136,1.226496449510417,0.859504132231405,29.429680130423133
arima_012,expanding,9,121,9.333379064741987,14.11414153651647,1.2879457588321293,0.8181818181818182,31.137468314513796
arima_012,expanding,10,121,10.148683845868607,15.344202136218168,1.399188858079629,0.8099173553719008,32.75632581478813
arima_012,expanding,11,121,10.569139556559332,15.82024933454306,1.4579465216750123,0.8016528925619835,34.29885066236491
arima_012,expanding,12,121,11.048173398586545,16.071681383630665,1.5274803154250014,0.8347107438016529,35.774920314776864
rw_naive,expanding,1,121,3.919595041322314,5.936590650678132,0.5386207157049825,0.8677685950413223,14.099960477376985
rw_naive,expanding,2,121,4.678710743801652,7.47052185549232,0.6426944494691288,0.8925619834710744,19.940355336031153
rw_naive,expanding,3,121,5.658057851239668,9.30811090589082,0.7731613743680098,0.9173553719008265,24.421847931530063
rw_naive,expanding,4,121,6.5233140495867765,11.064554080486026,0.8921884555717927,0.9173553719008265,28.199920954753974
rw_naive,expanding,5,121,7.066454545454545,11.902491650737158,0.9686556644140811,0.8925619834710744,31.52847010747533
rw_naive,expanding,6,121,7.60795041322314,12.185419698276316,1.0459902930153537,0.9090909090909091,34.537708562983134
rw_naive,expanding,7,121,8.466148760330578,12.745783980958418,1.16521529987576,0.9008264462809917,37.30498891897907
rw_naive,expanding,8,121,8.996487603305784,13.32545789609107,1.2397561429459563,0.9173553719008265,39.88071067206231
rw_naive,expanding,9,121,9.469818181818182,14.284509225667566,1.3051965961999645,0.9090909090909091,42.29988143213096
rw_naive,expanding,10,121,10.279809917355372,15.471281458728834,1.4159595674502266,0.9173553719008265,44.58799002686633
rw_naive,expanding,11,121,10.74414876033058,15.892877936592793,1.480477758278835,0.9090909090909091,46.76427846229987
rw_naive,expanding,12,121,11.140504132231404,16.19014665322376,1.5390468666137598,0.9090909090909091,48.84369586306012
sarima_011_001_12,expanding,1,121,3.7322471573576843,5.867280770053234,0.5129657139186673,0.8925619834710744,12.97728262412668
sarima_011_001_12,expanding,2,121,4.6315801892597985,7.65798791568995,0.6349287896707662,0.8925619834710744,15.998228009986866
sarima_011_001_12,expanding,3,121,5.658519604926278,9.65434197962608,0.7720095488459123,0.859504132231405,18.532893061301667
sarima_011_001_12,expanding,4,121,6.475325027278107,11.148970272590432,0.8850023771003108,0.8512396694214877,20.76029104210302
sarima_011_001_12,expanding,5,121,7.075153946396596,11.776515012040917,0.9707350951680236,0.8264462809917356,22.770807076645088
sarima_011_001_12,expanding,6,121,7.616664519279386,12.180236547561298,1.047638723097872,0.8181818181818182,24.617650863867503
sarima_011_001_12,expanding,7,121,8.164357505545118,12.489494494972549,1.127167893294505,0.8181818181818182,26.33528550569732
sarima_011_001_12,expanding,8,121,8.613174853969877,12.992714275720044,1.1918771689311636,0.8512396694214877,27.94754779097461
sarima_011_001_12,expanding,9,121,9.211254213212777,13.726677748735584,1.274493297751047,0.8181818181818182,29.471737979010474
sarima_011_001_12,expanding,10,121,9.742783507450108,14.87019103654817,1.3491780018543242,0.7933884297520661,30.920884019587582
sarima_011_001_12,expanding,11,121,10.292967896522418,15.254678321784457,1.426727803234174,0.7851239669421488,32.30508723110801
sarima_011_001_12,expanding,12,121,10.46973593116034,15.510416797792969,1.4569728544650271,0.8016528925619835,33.63236757614257
sarima_012_001_12,expanding,1,121,3.748091869269152,5.92466057041607,0.5152939712945415,0.8842975206611571,12.908355623282844
sarima_012_001_12,expanding,2,121,4.6506434956292395,7.556711913243548,0.6380168075821375,0.8842975206611571,15.376976648452853
sarima_012_001_12,expanding,3,121,5.700803591913409,9.545400510944091,0.7780796367684527,0.859504132231405,18.363649569745128
sarima_012_001_12,expanding,4,121,6.4829858679485755,11.199465528741971,0.885809753695816,0.8512396694214877,20.927771558018204
sarima_012_001_12,expanding,5,121,7.148630857536346,11.82844425410925,0.9801785153110606,0.8347107438016529,23.21010352154519
sarima_012_001_12,expanding,6,121,7.686984168943999,12.26860615083086,1.0566286885042535,0.8264462809917356,25.28716095740509
sarima_012_001_12,expanding,7,121,8.229116166577514,12.535091274460543,1.1354492012991473,0.8181818181818182,27.206042350085163
sarima_012_001_12,expanding,8,121,8.69429632999601,13.042169927745421,1.2022026303018147,0.8347107438016529,28.998186234710687
sarima_012_001_12,expanding,9,121,9.2923291312615,13.788191065177706,1.284833150874569,0.8264462809917356,30.685817491780465
sarima_012_001_12,expanding,10,121,9.822490316584412,14.964432997070176,1.3591024119490218,0.8016528925619835,32.28533624932899
sarima_012_001_12,expanding,11,121,10.364551195884744,15.348876694616392,1.4355697986096898,0.7851239669421488,33.809254736732306
sarima_012_001_12,expanding,12,121,10.568263409908278,15.562208169887791,1.469482897305035,0.8016528925619835,35.26737712836781
seasonal_naive12,expanding,1,121,8.929859504132232,12.67465328294921,1.2335701703748008,0.9008264462809917,38.88918332294046
seasonal_naive12,expanding,2,121,9.35892561983471,13.57024342918257,1.2914370931684531,0.8842975206611571,38.88918332294046
seasonal_naive12,expanding,3,121,9.882677685950414,14.961786519371262,1.3607787525858395,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,4,121,9.942462809917354,14.9993363957893,1.3716247376306696,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,5,121,9.942404958677683,14.99932137115014,1.374208896979146,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,6,121,10.067876033057852,15.071622486378194,1.392206368534478,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,7,121,10.07511570247934,15.073528398766816,1.395456898735864,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,8,121,10.189148760330578,15.136218795102796,1.4117851778581796,0.8760330578512396,38.88918332294046
seasonal_naive12,expanding,9,121,10.396256198347109,15.40475815969461,1.4391491419712779,0.8677685950413223,38.88918332294046
seasonal_naive12,expanding,10,121,10.752595041322312,15.896318091290954,1.4860215489625574,0.859504132231405,38.88918332294046
seasonal_naive12,expanding,11,121,10.947074380165287,16.041972280384606,1.5126702959653808,0.8512396694214877,38.88918332294046
